Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2012,7,143255,9071103,15.79,151328,2064843,73.29
2012,8,141809,9018451,15.72,149171,2014284,74.06
2012,9,127411,7651409,16.65,127337,1631015,78.07
2012,10,130028,8365640,15.54,124459,1510788,82.38
2012,11,123735,7885681,15.69,107734,1315337,81.91
2012,12,123901,7328012,16.91,116341,1522781,76.40
2013,1,120117,6945446,17.29,115532,1436003,80.45
2013,2,110067,6650536,16.55,106355,1297777,81.95
2013,3,135852,8595017,15.81,122684,1715641,71.51
2013,4,129957,8129300,15.99,124455,1524946,81.61
2013,5,132866,8521714,15.59,133656,1715015,77.93
2013,6,141212,8955829,15.77,145541,2029562,71.71
2013,7,151644,9285996,16.33,156711,2208948,70.94
2013,8,149257,9186387,16.25,154207,2202558,70.01
