Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2012,8,143631,6284718,22.85,155114,2276932,68.12
2012,9,143631,5253311,27.34,155114,1838359,84.38
2012,10,124522,5510934,22.60,138578,1749224,79.22
2012,11,116091,5204739,22.30,125477,1676868,74.83
2012,12,124434,5246744,23.72,132905,1902127,69.87
2013,1,116720,4954097,23.56,136846,1890855,72.37
2013,2,106911,4686091,22.81,119932,1604832,74.73
2013,3,126240,5704496,22.13,140460,2127732,66.01
2013,4,122075,5263228,23.19,140682,1978337,71.11
2013,5,128334,5618696,22.84,149208,2091661,71.33
2013,6,134755,5835043,23.09,150041,2296608,65.33
2013,7,138490,5899822,23.47,156077,2453930,63.60
2013,8,137973,5902085,23.38,154771,2332039,66.37
